Time,Arm_Angle,Error,MotorCmd,Headroom,K_P,Motor_Speed(PWM),Desired_Angle
0.025919437,-35,5,115,336,10,65,-30
0.036886692,-35,5,115,336,10,65,-30
0.047857046,-35,5,115,336,10,65,-30
0.065812588,-34,4,112,336,10,65,-30
0.085757494,-35,5,115,336,10,65,-30
0.106701374,-35,5,115,336,10,65,-30
0.127645731,-35,5,115,336,10,65,-30
0.15158844,-34,4,113,336,10,65,-30
0.174521446,-35,5,115,336,10,65,-30
0.192526817,-35,5,115,336,10,65,-30
0.213416338,-35,5,115,336,10,65,-30
0.233364582,-35,5,115,336,10,65,-30
0.254340172,-35,5,115,336,10,65,-30
0.274253607,-35,5,115,336,10,65,-30
0.295194864,-35,5,115,336,10,65,-30
0.379968166,-35,5,115,336,10,65,-30
0.390940666,-35,5,115,336,10,65,-30
0.411884785,-35,5,115,336,10,65,-30
0.421891928,-35,5,117,336,10,65,-30
0.432909012,-35,5,115,336,10,65,-30
0.455767155,-35,5,115,336,10,65,-30
0.466751099,-35,5,115,336,10,65,-30
0.488679886,-35,5,115,336,10,65,-30
0.499650002,-35,5,115,336,10,65,-30
0.521588564,-35,5,115,336,10,65,-30
0.532562971,-35,5,115,336,10,65,-30
0.54951787,-34,4,114,336,10,65,-30
0.569464445,-35,5,115,336,10,65,-30
0.590407133,-35,5,115,336,10,65,-30
0.61234808,-35,5,115,336,10,65,-30
0.631371498,-35,5,115,336,10,65,-30
0.651244879,-35,5,115,336,10,65,-30
0.672219515,-35,5,115,336,10,65,-30
0.696123838,-35,5,115,336,10,65,-30
0.717120886,-35,5,115,336,10,65,-30
0.739039898,-35,5,115,336,10,65,-30
0.757959127,-35,5,115,336,10,65,-30
0.778900862,-35,5,115,336,10,65,-30
0.80085969,-35,5,115,336,10,65,-30
0.819791317,-35,5,115,336,10,65,-30
0.839737654,-35,5,115,336,10,65,-30
0.860682011,-34,4,110,336,10,65,-30
0.884672403,-35,5,115,336,10,65,-30
0.905561924,-35,5,115,336,10,65,-30
0.927518845,-35,5,115,336,10,65,-30
0.946460962,-35,5,115,336,10,65,-30
0.967398405,-35,5,115,336,10,65,-30
0.988342524,-35,5,115,336,10,65,-30
1.008289337,-35,5,115,336,10,65,-30
1.028234482,-35,5,115,336,10,65,-30
1.053169727,-35,5,115,336,10,65,-30
1.073116302,-35,5,115,336,10,65,-30
1.094056606,-35,5,118,336,10,65,-30
1.114075184,-35,5,115,336,10,65,-30
1.134949684,-35,5,115,336,10,65,-30
1.154927254,-35,5,115,336,10,65,-30
1.175840139,-34,4,112,336,10,65,-30
1.195786476,-35,5,115,336,10,65,-30
1.217740774,-35,5,115,336,10,65,-30
1.241671801,-35,5,115,336,10,65,-30
1.261610746,-35,5,115,336,10,65,-30
1.282564163,-35,5,115,336,10,65,-30
1.30250144,-35,5,115,336,10,65,-30
1.323445082,-35,5,115,336,10,65,-30
1.345385075,-34,4,112,336,10,65,-30
1.364387274,-35,5,115,336,10,65,-30
1.384312391,-35,5,115,336,10,65,-30
1.464068413,-35,5,115,336,10,65,-30
1.48700738,-35,5,115,336,10,65,-30
1.497976303,-35,5,115,336,10,65,-30
1.519918203,-35,5,115,336,10,65,-30
1.530888796,-35,5,115,336,10,65,-30
1.55283165,-35,5,115,336,10,65,-30
1.562853336,-35,5,115,336,10,65,-30
1.573806524,-35,5,115,336,10,65,-30
1.594718456,-35,5,119,336,10,65,-30
1.604724646,-35,5,115,336,10,65,-30
1.626634121,-35,5,115,336,10,65,-30
1.638638258,-35,5,115,336,10,65,-30
1.661538601,-35,5,115,336,10,65,-30
1.679544687,-35,5,115,336,10,65,-30
1.700500727,-35,5,115,336,10,65,-30
1.72338891,-35,5,115,336,10,65,-30
1.741325617,-35,5,115,336,10,65,-30
1.761271238,-35,5,115,336,10,65,-30
1.783215761,-35,5,115,336,10,65,-30
1.806152582,-35,5,115,336,10,65,-30
1.82709527,-35,5,115,336,10,65,-30
1.847113132,-35,5,115,336,10,65,-30
1.868026257,-35,5,115,336,10,65,-30
1.888930559,-35,5,115,336,10,65,-30
1.910873175,-35,5,115,336,10,65,-30
1.929821253,-35,5,115,336,10,65,-30
1.949770212,-35,5,115,336,10,65,-30
1.974700451,-35,5,115,336,10,65,-30
1.994683266,-35,5,115,336,10,65,-30
2.015592813,-35,5,115,336,10,65,-30
2.035572052,-35,5,115,336,10,65,-30
2.056483269,-35,5,115,336,10,65,-30
2.076428175,-35,5,115,336,10,65,-30
2.098422527,-35,5,115,336,10,65,-30
2.118319273,-35,5,115,336,10,65,-30
2.138296604,-34,4,114,336,10,65,-30
2.163195848,-35,5,115,336,10,65,-30
2.183145046,-35,5,115,336,10,65,-30
2.20513463,-35,5,116,336,10,65,-30
2.224034548,-35,5,115,336,10,65,-30
2.244978905,-35,5,115,336,10,65,-30
2.264982939,-35,5,115,336,10,65,-30
2.286878347,-35,35,255,336,10,65,0
2.305815935,-35,35,255,336,10,65,0
2.326761246,-34,34,255,336,10,65,0
2.351748466,-34,34,255,336,10,65,0
2.371638775,-33,33,255,336,10,65,0
2.394577026,-32,32,255,336,10,65,0
2.412530899,-31,31,255,336,10,65,0
2.433474302,-30,30,255,336,10,65,0
2.456411123,-29,29,255,336,10,65,0
2.474363089,-27,27,255,336,10,65,0
2.557177067,-25,25,255,336,10,65,0
2.558139801,-23,23,255,336,10,65,0
2.579158306,-21,21,255,336,10,65,0
2.591082573,-19,19,255,336,10,65,0
2.612992764,-17,17,240,336,10,65,0
2.623969316,-15,15,217,336,10,65,0
2.645907164,-13,13,202,336,10,65,0
2.656875849,-12,12,185,336,10,65,0
2.66885972,-11,11,176,336,10,65,0
2.689819098,-9,9,162,336,10,65,0
2.703749418,-9,9,155,336,10,65,0
2.727685928,-8,8,149,336,10,65,0
2.748688459,-8,8,145,336,10,65,0
